"adhesome_gene","XIST","tissue"
"CDH5",-0.069842442658391,"Eye"
"CDH4",0.176083292135719,"Eye"
"CDH7",0.0694182030781861,"Eye"
"CDH6",0.0186037003873859,"Eye"
"RACGAP1",0.0837179721896088,"Eye"
"KEAP1",-0.326532026477021,"Eye"
"NEXN",0.171010529074452,"Eye"
"ENAH",0.179527295635363,"Eye"
"ECT2",0.215265766018311,"Eye"
"PLEC",0.0162058795921034,"Eye"
"MYO7A",-0.202191040301369,"Eye"
"CSRP1",0.252523686623746,"Eye"
"BCAR1",0.161885702568219,"Eye"
"BCAR3",0.265915598771182,"Eye"
"DNM2",-0.0983534691240127,"Eye"
"CFL1",-0.163109441505712,"Eye"
"PLAUR",-0.0438662535194296,"Eye"
"AKAP5",0.0747483530761007,"Eye"
"SHC1",-0.277041010237766,"Eye"
"PTEN",0.316808727113114,"Eye"
"KTN1",0.237586833215678,"Eye"
"PTPRU",-0.345158886801861,"Eye"
"PTPRT",-0.119923100467668,"Eye"
"PTPRF",-0.271841097043884,"Eye"
"PTPRA",0.0841597930898541,"Eye"
"PTPRO",0.0412155379279134,"Eye"
"PTPRM",0.144831047419361,"Eye"
"PTPRK",-0.112269220389909,"Eye"
"PTPRJ",0.0665374505363424,"Eye"
"PTPRH",0.0444812378460293,"Eye"
"VIM",0.0104617889935297,"Eye"
"RDX",0.114468889590402,"Eye"
"WASL",0.146866775876386,"Eye"
"PIK3CA",0.209520676374247,"Eye"
"ARF1",0.0467346156090948,"Eye"
"ARF6",0.0893085488136714,"Eye"
"CLIP1",-0.030101456918569,"Eye"
"CD47",0.208807529353678,"Eye"
"PAK1",-0.294307647217216,"Eye"
"FYN",0.158979266935107,"Eye"
"ARHGAP5",0.161936411468843,"Eye"
"GRB2",0.0474958356163741,"Eye"
"GRB7",-0.219955452228545,"Eye"
"ACP1",-0.00856044570933916,"Eye"
"PRKCA",0.0870755174025853,"Eye"
"PRKCD",-0.0153118400136229,"Eye"
"SYK",0.106446890357921,"Eye"
"ILK",-0.036315004322562,"Eye"
"PLEKHA7",0.0390667132353439,"Eye"
"MYH10",-0.0100923208986247,"Eye"
"CGNL1",-0.237860413870431,"Eye"
"SLC9A1",-0.342840507441238,"Eye"
"MYO6",0.0744865102123738,"Eye"
"PABPC1",-0.0582291881821572,"Eye"
"DLC1",0.38006586691971,"Eye"
"SH2B1",-0.106116020471023,"Eye"
"WIPF2",-0.186148761608212,"Eye"
"PPM1F",0.239301651464568,"Eye"
"PPM1M",0.00914748252779504,"Eye"
"ZYX",-0.144499910937009,"Eye"
"PPP2CA",0.0471137085467937,"Eye"
"ARPC2",0.0468180922690773,"Eye"
"ARHGAP12",0.256348018594547,"Eye"
"PALLD",0.120884898396754,"Eye"
"PDPK1",-0.0385100605249574,"Eye"
"PTK2B",0.130874589572074,"Eye"
"IQGAP1",-0.0529857045873695,"Eye"
"RNF185",-0.111025698603707,"Eye"
"PARVA",-0.119588169005193,"Eye"
"TRIOBP",-0.0208919922215782,"Eye"
"CSK",-0.164980466162064,"Eye"
"SH3BP1",-0.0848640648565546,"Eye"
"MAGI1",-0.0335997624256865,"Eye"
"TSPAN1",-0.163353393898792,"Eye"
"HSPA2",0.0175209843079877,"Eye"
"SHROOM3",-0.077560336811844,"Eye"
"VASP",-0.157942369367546,"Eye"
"CEACAM1",-0.0562642293434629,"Eye"
"ADD1",0.0407775275822429,"Eye"
"LDB3",0.100755453160642,"Eye"
"MYH9",0.0197132276635588,"Eye"
"PIP5K1C",-0.21140961769092,"Eye"
"CAPN2",0.332902438406195,"Eye"
"CAPN1",-0.0647235705752394,"Eye"
"PARVB",-0.130177767840635,"Eye"
"ARVCF",0.123639263962223,"Eye"
"STAT3",-0.118695492992681,"Eye"
"PDE4D",0.370273360186505,"Eye"
"CD2AP",0.202511253287314,"Eye"
"ITGA8",0.289797976038442,"Endometrium"
"ITGA9",0.242484251083154,"Endometrium"
"ITGA1",0.185354825623071,"Endometrium"
"ITGA2",0.082806914978214,"Endometrium"
