lncRNA,gene,corr,p_value,mean_bicor
H19,Itga11,0.037239101,0.630742406,0.124316343
Neat1,Itga11,-0.111563793,0.148717206,-0.130568054
Hottip,Itga11,-0.05002003,0.518383771,-0.018087346
Gas5,Itga11,0.117004131,0.129779183,0.275243132
Meg3,Itga11,0.157855921,0.040387239,0.178532165
Pvt1,Itga11,0.060941674,0.431226914,0.130783522
Kcnq1ot1,Itga11,0.468219836,1.37E-10,0.336887388
Xist,Wasf2,0.489295087,1.47E-11,0.324577899
Malat1,Wasf2,-0.203271991,0.008033565,0.050059217
Airn,Wasf2,0.701879779,2.16E-26,0.262778973
Hotair,Wasf2,0.076493865,0.322913185,0.054523211
H19,Wasf2,0.468619693,1.31E-10,0.124316343
Neat1,Wasf2,-0.196860541,0.01030726,-0.130568054
Hottip,Wasf2,0.005907471,0.939237851,-0.018087346
Gas5,Wasf2,0.599138604,7.63E-18,0.275243132
Meg3,Wasf2,0.096339221,0.212758801,0.178532165
Pvt1,Wasf2,-0.126664265,0.100790984,0.130783522
Kcnq1ot1,Wasf2,0.394804982,1.09E-07,0.336887388
Xist,Enah,0.37656535,4.51E-07,0.324577899
Malat1,Enah,-0.094628324,0.221032831,0.050059217
Airn,Enah,0.110356175,0.153191346,0.262778973
Hotair,Enah,0.081967576,0.289393096,0.054523211
H19,Enah,0.263456484,0.000538447,0.124316343
Neat1,Enah,-0.482151509,3.19E-11,-0.130568054
Hottip,Enah,-0.10415725,0.177766661,-0.018087346
Gas5,Enah,0.420848877,1.22E-08,0.275243132
Meg3,Enah,0.256492929,0.000762241,0.178532165
Pvt1,Enah,0.240789432,0.001612908,0.130783522
Kcnq1ot1,Enah,0.424864941,8.54E-09,0.336887388
Xist,Ppm1f,0.220916178,0.003897452,0.324577899
Malat1,Ppm1f,0.041875122,0.588801538,0.050059217
Airn,Ppm1f,0.213449831,0.005329047,0.262778973
Hotair,Ppm1f,0.160531452,0.037072748,0.054523211
H19,Ppm1f,0.078700144,0.309111961,0.124316343
Neat1,Ppm1f,-0.160555755,0.037043727,-0.130568054
Hottip,Ppm1f,-0.120097769,0.11987024,-0.018087346
Gas5,Ppm1f,0.336805464,7.55E-06,0.275243132
Meg3,Ppm1f,0.313653965,3.29E-05,0.178532165
Pvt1,Ppm1f,0.437021689,2.84E-09,0.130783522
Kcnq1ot1,Ppm1f,0.406551652,4.14E-08,0.336887388
Xist,Cyth2,0.540219297,3.45E-14,0.324577899
Malat1,Cyth2,0.014253318,0.854070502,0.050059217
Airn,Cyth2,0.212483277,0.005545249,0.262778973
Hotair,Cyth2,0.026959785,0.727885761,0.054523211
H19,Cyth2,0.261624469,0.000590546,0.124316343
Neat1,Cyth2,-0.450765022,7.76E-10,-0.130568054
Hottip,Cyth2,-0.060485676,0.43468865,-0.018087346
Gas5,Cyth2,0.51129818,1.22E-12,0.275243132
Meg3,Cyth2,0.37136029,6.67E-07,0.178532165
Pvt1,Cyth2,0.160456227,0.037162702,0.130783522
Kcnq1ot1,Cyth2,0.481175782,3.54E-11,0.336887388
Xist,Cdh3,0.10982597,0.15518747,0.324577899
Malat1,Cdh3,-0.227087918,0.00298651,0.050059217
Airn,Cdh3,0.308728666,4.43E-05,0.262778973
Hotair,Cdh3,0.037271064,0.630448958,0.054523211
H19,Cdh3,0.49562946,7.32E-12,0.124316343
Neat1,Cdh3,-0.277838002,0.000254823,-0.130568054
Hottip,Cdh3,-0.060584889,0.433934117,-0.018087346
Gas5,Cdh3,0.313839235,3.25E-05,0.275243132
Meg3,Cdh3,-0.178720837,0.020078511,0.178532165
Pvt1,Cdh3,-0.032922786,0.67088408,0.130783522
Kcnq1ot1,Cdh3,0.014138008,0.85523811,0.336887388
Xist,Mapk1,0.244428801,0.001361392,0.324577899
Malat1,Mapk1,0.189783261,0.01345948,0.050059217
Airn,Mapk1,-0.053522832,0.489484853,0.262778973
Hotair,Mapk1,0.00375461,0.961359332,0.054523211
H19,Mapk1,-0.042129661,0.586536182,0.124316343
Neat1,Mapk1,-0.186494527,0.015191815,-0.130568054
Hottip,Mapk1,-0.107789365,0.163037096,-0.018087346
Gas5,Mapk1,0.247004463,0.001205643,0.275243132
Meg3,Mapk1,0.395211654,1.05E-07,0.178532165
Pvt1,Mapk1,0.557836628,3.31E-15,0.130783522
Kcnq1ot1,Mapk1,0.386259071,2.14E-07,0.336887388
Xist,Cdh12,0.349207691,3.27E-06,0.324577899
Malat1,Cdh12,0.09929928,0.198971589,0.050059217
Airn,Cdh12,0.137250891,0.075165988,0.262778973
Hotair,Cdh12,0.014459626,0.85198227,0.054523211
H19,Cdh12,0.106023042,0.170082043,0.124316343
Neat1,Cdh12,-0.109429996,0.156690956,-0.130568054
Hottip,Cdh12,-0.071431729,0.356059243,-0.018087346
Gas5,Cdh12,-0.009655158,0.900849417,0.275243132
Meg3,Cdh12,0.236217513,0.001988708,0.178532165
Pvt1,Cdh12,0.090830406,0.240210371,0.130783522
Kcnq1ot1,Cdh12,0.361936427,1.33E-06,0.336887388
Xist,Cdh8,0.209668881,0.006220145,0.324577899
Malat1,Cdh8,-0.096594056,0.211545623,0.050059217
Airn,Cdh8,0.140053798,0.069347595,0.262778973
Hotair,Cdh8,0.049242929,0.524911436,0.054523211
H19,Cdh8,0.08117334,0.294107235,0.124316343
Neat1,Cdh8,-0.277439697,0.000260303,-0.130568054
Hottip,Cdh8,-0.057942844,0.454281948,-0.018087346
Gas5,Cdh8,0.122333575,0.113082117,0.275243132
Meg3,Cdh8,0.450439892,8.00E-10,0.178532165
Pvt1,Cdh8,0.145009143,0.059960637,0.130783522
Kcnq1ot1,Cdh8,0.384561132,2.44E-07,0.336887388
Xist,Rnf185,0.478471298,4.72E-11,0.324577899
Malat1,Rnf185,-0.103793494,0.179294239,0.050059217
Airn,Rnf185,0.417195353,1.67E-08,0.262778973
Hotair,Rnf185,0.071925797,0.352733605,0.054523211
H19,Rnf185,0.258541014,0.000688845,0.124316343
Neat1,Rnf185,-0.331681044,1.06E-05,-0.130568054
Hottip,Rnf185,-0.077307358,0.317778791,-0.018087346
Gas5,Rnf185,0.456454604,4.45E-10,0.275243132
Meg3,Rnf185,0.160535146,0.037068336,0.178532165
Pvt1,Rnf185,0.116341118,0.131982594,0.130783522
Kcnq1ot1,Rnf185,0.398745394,7.89E-08,0.336887388
Xist,Flnb,0.24651275,0.001234054,0.324577899
Malat1,Flnb,-0.050879385,0.511213897,0.050059217
Airn,Flnb,0.461133125,2.80E-10,0.262778973
Hotair,Flnb,0.030655908,0.692354349,0.054523211
H19,Flnb,0.221978339,0.003724752,0.124316343
Neat1,Flnb,-0.134563199,0.081110167,-0.130568054
Hottip,Flnb,0.140434298,0.068586784,-0.018087346
Gas5,Flnb,0.425476831,8.09E-09,0.275243132
Meg3,Flnb,0.01875713,0.808738125,0.178532165
Pvt1,Flnb,0.036675337,0.635927714,0.130783522
Kcnq1ot1,Flnb,0.290014072,0.000130914,0.336887388
Xist,Ilkap,0.458377187,3.68E-10,0.324577899
Malat1,Ilkap,-0.310652839,3.94E-05,0.050059217
Airn,Ilkap,0.466906946,1.57E-10,0.262778973
Hotair,Ilkap,0.05631435,0.467084727,0.054523211
H19,Ilkap,0.558361121,3.08E-15,0.124316343
Neat1,Ilkap,-0.471178424,1.01E-10,-0.130568054
Hottip,Ilkap,-0.051472899,0.506292164,-0.018087346
Gas5,Ilkap,0.82254169,8.70E-43,0.275243132
Meg3,Ilkap,0.273584102,0.000319307,0.178532165
Pvt1,Ilkap,-0.023601513,0.760682265,0.130783522
Kcnq1ot1,Ilkap,0.312575974,3.51E-05,0.336887388
Xist,Ppm1m,0.122093922,0.113795038,0.324577899
Malat1,Ppm1m,-0.230514324,0.002568446,0.050059217
Airn,Ppm1m,0.536901788,5.28E-14,0.262778973
Hotair,Ppm1m,0.14652476,0.057307559,0.054523211
H19,Ppm1m,0.358542965,1.70E-06,0.124316343
Neat1,Ppm1m,-0.241202147,0.001582394,-0.130568054
Hottip,Ppm1m,-0.063593812,0.411409514,-0.018087346
Gas5,Ppm1m,0.73714393,3.11E-30,0.275243132
Meg3,Ppm1m,0.165146638,0.031894664,0.178532165
Pvt1,Ppm1m,0.159320709,0.038543061,0.130783522
Kcnq1ot1,Ppm1m,0.239169277,0.001737953,0.336887388
Xist,Cav1,0.428934865,5.94E-09,0.324577899
Malat1,Cav1,0.359615702,1.57E-06,0.050059217
Airn,Cav1,0.122959015,0.111237982,0.262778973
Hotair,Cav1,0.180954484,0.018551639,0.054523211
H19,Cav1,-0.196343468,0.010513248,0.124316343
Neat1,Cav1,0.050161444,0.517200379,-0.130568054
Hottip,Cav1,0.106294445,0.168985096,-0.018087346
Gas5,Cav1,-0.154440296,0.044977141,0.275243132
Meg3,Cav1,0.06340057,0.412835114,0.178532165
Pvt1,Cav1,0.025507746,0.742009652,0.130783522
Kcnq1ot1,Cav1,0.341085945,5.68E-06,0.336887388
Xist,Lpp,0.376670349,4.48E-07,0.324577899
Malat1,Lpp,-0.046474024,0.548504435,0.050059217
Airn,Lpp,0.627762145,6.60E-20,0.262778973
Hotair,Lpp,0.010634286,0.890854084,0.054523211
H19,Lpp,0.32828581,1.32E-05,0.124316343
Neat1,Lpp,-0.002198883,0.977364368,-0.130568054
Hottip,Lpp,0.098424602,0.202976481,-0.018087346
Gas5,Lpp,0.29575376,9.46E-05,0.275243132
Meg3,Lpp,-0.155761688,0.043152244,0.178532165
Pvt1,Lpp,-0.269040912,0.000404672,0.130783522
Kcnq1ot1,Lpp,0.254504445,0.000840322,0.336887388
Xist,Itga7,0.096697131,0.211056328,0.324577899
Malat1,Itga7,0.559466692,2.64E-15,0.050059217
Airn,Itga7,-0.226366611,0.003081996,0.262778973
Hotair,Itga7,0.029509447,0.703308156,0.054523211
H19,Itga7,-0.369305241,7.77E-07,0.124316343
Neat1,Itga7,0.312012959,3.63E-05,-0.130568054
Hottip,Itga7,0.116398332,0.131791327,-0.018087346
Gas5,Itga7,-0.385150071,2.33E-07,0.275243132
Meg3,Itga7,0.119687157,0.121150581,0.178532165
Pvt1,Itga7,0.390582675,1.52E-07,0.130783522
Kcnq1ot1,Itga7,0.22235703,0.003664866,0.336887388
Xist,Fat1,0.632312482,2.96E-20,0.324577899
Malat1,Fat1,0.065502103,0.397487664,0.050059217
Airn,Fat1,0.605756412,2.65E-18,0.262778973
Hotair,Fat1,0.062550124,0.419143471,0.054523211
H19,Fat1,0.289766847,0.000132737,0.124316343
Neat1,Fat1,-0.211303912,0.005819657,-0.130568054
Hottip,Fat1,0.003553405,0.963428554,-0.018087346
Gas5,Fat1,0.438519064,2.47E-09,0.275243132
Meg3,Fat1,0.049464855,0.52304301,0.178532165
Pvt1,Fat1,0.046184272,0.551002988,0.130783522
Kcnq1ot1,Fat1,0.593689738,1.79E-17,0.336887388
Xist,Ctnnd1,0.343335112,4.88E-06,0.324577899
Malat1,Ctnnd1,-0.31868651,2.41E-05,0.050059217
Airn,Ctnnd1,0.496880146,6.37E-12,0.262778973
Hotair,Ctnnd1,0.043437165,0.574963215,0.054523211
H19,Ctnnd1,0.44348496,1.55E-09,0.124316343
Neat1,Ctnnd1,-0.371579507,6.56E-07,-0.130568054
Hottip,Ctnnd1,0.087794686,0.256352909,-0.018087346
Gas5,Ctnnd1,0.534824032,6.88E-14,0.275243132
Meg3,Ctnnd1,-0.040326192,0.602672241,0.178532165
Pvt1,Ctnnd1,-0.162967288,0.034257737,0.130783522
Kcnq1ot1,Ctnnd1,0.265957721,0.000474151,0.336887388
Xist,Cdh1,0.00727183,0.925241485,0.324577899
Malat1,Cdh1,-0.362872629,1.24E-06,0.050059217
Airn,Cdh1,0.239159243,0.001738755,0.262778973
Hotair,Cdh1,0.016268576,0.833717824,0.054523211
H19,Cdh1,0.174293219,0.023428662,0.124316343
Neat1,Cdh1,-0.011489896,0.882133669,-0.130568054
Hottip,Cdh1,-0.00488058,0.949784797,-0.018087346
Gas5,Cdh1,0.393351268,1.22E-07,0.275243132
Meg3,Cdh1,-0.073140127,0.344642879,0.178532165
Pvt1,Cdh1,-0.282080786,0.000202741,0.130783522
Kcnq1ot1,Cdh1,-0.134748781,0.080687929,0.336887388
Xist,Fyn,0.441336826,1.90E-09,0.324577899
Malat1,Fyn,0.364456604,1.11E-06,0.050059217
Airn,Fyn,-0.048207363,0.533674567,0.262778973
Hotair,Fyn,0.015973484,0.836691487,0.054523211
H19,Fyn,-0.189794464,0.013453887,0.124316343
Neat1,Fyn,-0.16379615,0.033342089,-0.130568054
Hottip,Fyn,-0.110997582,0.150802507,-0.018087346
Gas5,Fyn,0.064879993,0.401995005,0.275243132
Meg3,Fyn,0.499703548,4.63E-12,0.178532165
Pvt1,Fyn,0.565681197,1.11E-15,0.130783522
Kcnq1ot1,Fyn,0.536217157,5.76E-14,0.336887388
Xist,Ajap1,0.218608255,0.004297782,0.324577899
Malat1,Ajap1,0.347190259,3.75E-06,0.050059217
Airn,Ajap1,-0.172241443,0.025137504,0.262778973
Hotair,Ajap1,0.073435151,0.342695078,0.054523211
H19,Ajap1,-0.308922718,4.38E-05,0.124316343
Neat1,Ajap1,0.005881128,0.939508291,-0.130568054
Hottip,Ajap1,-0.076263885,0.324374373,-0.018087346
Gas5,Ajap1,-0.003008365,0.969035035,0.275243132
Meg3,Ajap1,0.357907319,1.78E-06,0.178532165
Pvt1,Ajap1,0.60522355,2.89E-18,0.130783522
Kcnq1ot1,Ajap1,0.431372342,4.76E-09,0.336887388
Xist,Shc1,0.412696299,2.46E-08,0.324577899
Malat1,Shc1,-0.324533029,1.67E-05,0.050059217
Airn,Shc1,0.683843552,1.23E-24,0.262778973
Hotair,Shc1,0.064258705,0.406526585,0.054523211
H19,Shc1,0.488274989,1.65E-11,0.124316343
Neat1,Shc1,-0.198027102,0.009855557,-0.130568054
Hottip,Shc1,0.00109378,0.988739339,-0.018087346
Gas5,Shc1,0.666310375,4.77E-23,0.275243132
Meg3,Shc1,0.122757798,0.111828695,0.178532165
Pvt1,Shc1,-0.149705387,0.052053838,0.130783522
Kcnq1ot1,Shc1,0.314857826,3.06E-05,0.336887388
Xist,Csrp1,-0.087931668,0.255608798,0.324577899
Malat1,Csrp1,0.347617948,3.64E-06,0.050059217
Airn,Csrp1,0.104245192,0.1773988,0.262778973
Hotair,Csrp1,0.071204374,0.35759616,0.054523211
H19,Csrp1,-0.155896265,0.042969917,0.124316343
Neat1,Csrp1,0.269293496,0.00039942,-0.130568054
Hottip,Csrp1,0.164414486,0.0326726,-0.018087346
Gas5,Csrp1,0.007804891,0.919779022,0.275243132
Meg3,Csrp1,0.118977792,0.12338742,0.178532165
Pvt1,Csrp1,0.371437794,6.63E-07,0.130783522
Kcnq1ot1,Csrp1,0.210788366,0.005943376,0.336887388
Xist,Prkd1,0.190463825,0.01312342,0.324577899
Malat1,Prkd1,-0.213342611,0.005352652,0.050059217
Airn,Prkd1,0.412554812,2.49E-08,0.262778973
Hotair,Prkd1,0.022329665,0.773218785,0.054523211
H19,Prkd1,0.3074257,4.79E-05,0.124316343
Neat1,Prkd1,-0.399874893,7.20E-08,-0.130568054
Hottip,Prkd1,-0.107539889,0.164018683,-0.018087346
Gas5,Prkd1,0.558182179,3.16E-15,0.275243132
Meg3,Prkd1,0.257760077,0.000716027,0.178532165
Pvt1,Prkd1,0.035019605,0.651258345,0.130783522
Kcnq1ot1,Prkd1,0.306015921,5.21E-05,0.336887388
Xist,Lims1,0.515933688,7.03E-13,0.324577899
Malat1,Lims1,-0.202366028,0.008325136,0.050059217
Airn,Lims1,0.667820222,3.52E-23,0.262778973
Hotair,Lims1,0.038391105,0.620202729,0.054523211
H19,Lims1,0.455172658,5.05E-10,0.124316343
Neat1,Lims1,-0.209749516,0.006199832,-0.130568054
Hottip,Lims1,-0.031201255,0.687165985,-0.018087346
Gas5,Lims1,0.486884378,1.92E-11,0.275243132
Meg3,Lims1,0.016018341,0.836239317,0.178532165
Pvt1,Lims1,-0.095032084,0.219059911,0.130783522
Kcnq1ot1,Lims1,0.314216082,3.18E-05,0.336887388
Xist,Iqgap1,0.406526566,4.15E-08,0.324577899
Malat1,Iqgap1,-0.005442195,0.944015396,0.050059217
Airn,Iqgap1,0.493750278,9.03E-12,0.262778973
Hotair,Iqgap1,-0.058583917,0.449296309,0.054523211
H19,Iqgap1,0.243292256,0.001435796,0.124316343
Neat1,Iqgap1,-0.152553953,0.047693639,-0.130568054
Hottip,Iqgap1,0.137560714,0.074504039,-0.018087346
Gas5,Iqgap1,0.345717369,4.15E-06,0.275243132
Meg3,Iqgap1,0.101626864,0.188593721,0.178532165
Pvt1,Iqgap1,-0.252214995,0.000939288,0.130783522
Kcnq1ot1,Iqgap1,0.265057194,0.000496434,0.336887388
Xist,Nrp1,0.421885817,1.11E-08,0.324577899
Malat1,Nrp1,0.021678255,0.779662704,0.050059217
Airn,Nrp1,0.313040375,3.41E-05,0.262778973
Hotair,Nrp1,-0.015125083,0.845253652,0.054523211
H19,Nrp1,0.044119958,0.568962521,0.124316343
Neat1,Nrp1,-0.2275483,0.002926971,-0.130568054
Hottip,Nrp1,-0.101560951,0.188882051,-0.018087346
Gas5,Nrp1,0.053634022,0.488581804,0.275243132
Meg3,Nrp1,-0.007458952,0.923323564,0.178532165
Pvt1,Nrp1,0.065734161,0.395814113,0.130783522
Kcnq1ot1,Nrp1,0.359902222,1.54E-06,0.336887388
Xist,Itgb1bp1,0.218337872,0.004347022,0.324577899
Malat1,Itgb1bp1,0.295195645,9.77E-05,0.050059217
Airn,Itgb1bp1,0.116480372,0.131517438,0.262778973
Hotair,Itgb1bp1,0.152531475,0.047726816,0.054523211
H19,Itgb1bp1,-0.090725305,0.240757105,0.124316343
Neat1,Itgb1bp1,-0.06198059,0.423399343,-0.130568054
Hottip,Itgb1bp1,-0.138641711,0.072231319,-0.018087346
Gas5,Itgb1bp1,0.060902086,0.431526821,0.275243132
Meg3,Itgb1bp1,0.222311035,0.003672093,0.178532165
Pvt1,Itgb1bp1,0.516076536,6.91E-13,0.130783522
Kcnq1ot1,Itgb1bp1,0.343444222,4.84E-06,0.336887388
Xist,Myo6,0.165295224,0.031738722,0.324577899
Malat1,Myo6,0.549202983,1.06E-14,0.050059217
Airn,Myo6,-0.026673895,0.730659533,0.262778973
Hotair,Myo6,0.064920851,0.401698051,0.054523211
H19,Myo6,-0.528404126,1.54E-13,0.124316343
Neat1,Myo6,0.392206733,1.34E-07,-0.130568054
Hottip,Myo6,0.124117584,0.107884128,-0.018087346
Gas5,Myo6,-0.214164011,0.005174176,0.275243132
Meg3,Myo6,0.253082127,0.00090061,0.178532165
Pvt1,Myo6,0.546739239,1.47E-14,0.130783522
Kcnq1ot1,Myo6,0.392793138,1.28E-07,0.336887388
Xist,Parva,0.426308873,7.51E-09,0.324577899
Malat1,Parva,0.083604246,0.279838582,0.050059217
Airn,Parva,0.570426522,5.68E-16,0.262778973
Hotair,Parva,0.189455076,0.013624213,0.054523211
H19,Parva,0.202980363,0.008126417,0.124316343
Neat1,Parva,-0.023638927,0.760314406,-0.130568054
Hottip,Parva,-0.00142062,0.985374792,-0.018087346
Gas5,Parva,0.299687073,7.55E-05,0.275243132
Meg3,Parva,0.162620403,0.034647215,0.178532165
Pvt1,Parva,0.010529642,0.891921541,0.130783522
Kcnq1ot1,Parva,0.494351968,8.44E-12,0.336887388
Xist,Crk,0.398940996,7.77E-08,0.324577899
Malat1,Crk,-0.103127424,0.182116406,0.050059217
Airn,Crk,0.399239885,7.58E-08,0.262778973
Hotair,Crk,0.081468519,0.292349294,0.054523211
H19,Crk,0.306289139,5.12E-05,0.124316343
Neat1,Crk,-0.374495284,5.27E-07,-0.130568054
Hottip,Crk,0.003400873,0.964997386,-0.018087346
Gas5,Crk,0.50463228,2.64E-12,0.275243132
Meg3,Crk,0.151488423,0.04928759,0.178532165
Pvt1,Crk,0.194910535,0.011103175,0.130783522
Kcnq1ot1,Crk,0.38331833,2.69E-07,0.336887388
Xist,Cdh5,0.427115892,6.99E-09,0.324577899
Malat1,Cdh5,-0.156256283,0.04248533,0.050059217
Airn,Cdh5,0.684673186,1.03E-24,0.262778973
Hotair,Cdh5,0.060147161,0.437268763,0.054523211
H19,Cdh5,0.431939385,4.52E-09,0.124316343
Neat1,Cdh5,-0.216560672,0.004683482,-0.130568054
Hottip,Cdh5,-0.084000792,0.277555983,-0.018087346
Gas5,Cdh5,0.454131274,5.59E-10,0.275243132
Meg3,Cdh5,-0.037057049,0.632414907,0.178532165
Pvt1,Cdh5,-0.225810022,0.003157553,0.130783522
Kcnq1ot1,Cdh5,0.315718977,2.90E-05,0.336887388
Xist,Pard3,0.42378499,9.40E-09,0.324577899
Malat1,Pard3,-0.382518912,2.86E-07,0.050059217
Airn,Pard3,0.587663876,4.50E-17,0.262778973
Hotair,Pard3,0.081001572,0.295133432,0.054523211
H19,Pard3,0.532148356,9.64E-14,0.124316343
Neat1,Pard3,-0.421368712,1.16E-08,-0.130568054
Hottip,Pard3,-0.063291925,0.413637888,-0.018087346
Gas5,Pard3,0.717843575,4.66E-28,0.275243132
Meg3,Pard3,0.091791002,0.235253523,0.178532165
Pvt1,Pard3,-0.126339209,0.101675294,0.130783522
Kcnq1ot1,Pard3,0.382880011,2.78E-07,0.336887388
Xist,Cdh24,0.52006074,4.28E-13,0.324577899
Malat1,Cdh24,-0.231102899,0.002502222,0.050059217
Airn,Cdh24,0.300096293,7.37E-05,0.262778973
Hotair,Cdh24,0.059365405,0.443260468,0.054523211
H19,Cdh24,0.333405234,9.44E-06,0.124316343
Neat1,Cdh24,-0.542207834,2.66E-14,-0.130568054
Hottip,Cdh24,-0.068594294,0.375535641,-0.018087346
Gas5,Cdh24,0.680276542,2.64E-24,0.275243132
Meg3,Cdh24,0.307670557,4.72E-05,0.178532165
Pvt1,Cdh24,0.116950584,0.129956081,0.130783522
Kcnq1ot1,Cdh24,0.509855018,1.44E-12,0.336887388
Xist,Git1,0.133772988,0.082927997,0.324577899
Malat1,Git1,0.206788727,0.006985763,0.050059217
Airn,Git1,-0.048284835,0.533016462,0.262778973
Hotair,Git1,0.082817081,0.284407031,0.054523211
H19,Git1,-0.009549861,0.901925281,0.124316343
Neat1,Git1,-0.15857135,0.039477449,-0.130568054
Hottip,Git1,-0.086281843,0.264670165,-0.018087346
Gas5,Git1,0.201951027,0.008461803,0.275243132
Meg3,Git1,0.413498441,2.30E-08,0.178532165
Pvt1,Git1,0.463749447,2.15E-10,0.130783522
Kcnq1ot1,Git1,0.393242416,1.23E-07,0.336887388
Xist,Ank3,0.138957352,0.071578423,0.324577899
Malat1,Ank3,0.421193596,1.18E-08,0.050059217
Airn,Ank3,-0.138784492,0.071935384,0.262778973
Hotair,Ank3,0.159533109,0.038281628,0.054523211
H19,Ank3,-0.263725174,0.000531173,0.124316343
Neat1,Ank3,0.047562832,0.53916543,-0.130568054
Hottip,Ank3,-0.054548246,0.481190608,-0.018087346
Gas5,Ank3,-0.202289204,0.008350287,0.275243132
Meg3,Ank3,0.358667233,1.68E-06,0.178532165
Pvt1,Ank3,0.458736877,3.56E-10,0.130783522
Kcnq1ot1,Ank3,0.463248827,2.27E-10,0.336887388
Xist,Arhgap32,0.4284957,6.18E-09,0.324577899
Malat1,Arhgap32,0.568363338,7.63E-16,0.050059217
Airn,Arhgap32,-0.086786199,0.261877099,0.262778973
Hotair,Arhgap32,-0.012659624,0.870234824,0.054523211
H19,Arhgap32,-0.31722525,2.64E-05,0.124316343
Neat1,Arhgap32,0.084740818,0.27332993,-0.130568054
Hottip,Arhgap32,-0.018734058,0.808968875,-0.018087346
Gas5,Arhgap32,-0.057908913,0.454546688,0.275243132
Meg3,Arhgap32,0.410130259,3.06E-08,0.178532165
Pvt1,Arhgap32,0.508454775,1.70E-12,0.130783522
Kcnq1ot1,Arhgap32,0.597475762,9.91E-18,0.336887388
Xist,Arhgef2,0.418496015,1.50E-08,0.324577899
Malat1,Arhgef2,0.107181976,0.165434627,0.050059217
Airn,Arhgef2,0.267441636,0.00043944,0.262778973
Hotair,Arhgef2,0.013361465,0.863109245,0.054523211
H19,Arhgef2,0.21969506,0.004104878,0.124316343
Neat1,Arhgef2,-0.243553245,0.001418389,-0.130568054
Hottip,Arhgef2,-0.080197956,0.299966009,-0.018087346
Gas5,Arhgef2,0.422202534,1.08E-08,0.275243132
Meg3,Arhgef2,0.402524627,5.79E-08,0.178532165
Pvt1,Arhgef2,0.159211223,0.038678407,0.130783522
Kcnq1ot1,Arhgef2,0.50120704,3.91E-12,0.336887388
Xist,Rhou,0.055579698,0.472924623,0.324577899
Malat1,Rhou,-0.233284182,0.002270073,0.050059217
Airn,Rhou,0.25514758,0.000814298,0.262778973
Hotair,Rhou,0.128739929,0.095286549,0.054523211
H19,Rhou,0.199103309,0.009454433,0.124316343
Neat1,Rhou,-0.308555141,4.47E-05,-0.130568054
Hottip,Rhou,-0.023871052,0.758033302,-0.018087346
Gas5,Rhou,0.538113561,4.52E-14,0.275243132
Meg3,Rhou,0.248022376,0.001148723,0.178532165
Pvt1,Rhou,0.113544756,0.141593011,0.130783522
Kcnq1ot1,Rhou,0.271816538,0.000350311,0.336887388
Xist,Pabpc1,0.288831935,0.000139846,0.324577899
Malat1,Pabpc1,-0.462848726,2.36E-10,0.050059217
Airn,Pabpc1,0.504306383,2.74E-12,0.262778973
Hotair,Pabpc1,0.062082895,0.422633019,0.054523211
H19,Pabpc1,0.540087584,3.51E-14,0.124316343
Neat1,Pabpc1,-0.397121365,9.00E-08,-0.130568054
Hottip,Pabpc1,-0.021470264,0.781723383,-0.018087346
Gas5,Pabpc1,0.817830941,6.29E-42,0.275243132
Meg3,Pabpc1,0.069912985,0.366404251,0.178532165
Pvt1,Pabpc1,-0.083340452,0.28136402,0.130783522
Kcnq1ot1,Pabpc1,0.260806099,0.00061529,0.336887388
Xist,Itga2,0.617561319,3.79E-19,0.324577899
Malat1,Itga2,-0.076249124,0.324468308,0.050059217
Airn,Itga2,0.349844326,3.13E-06,0.262778973
Hotair,Itga2,-0.025588201,0.74122476,0.054523211
H19,Itga2,0.310775286,3.92E-05,0.124316343
Neat1,Itga2,-0.209927328,0.006155248,-0.130568054
Hottip,Itga2,0.134946177,0.080240756,-0.018087346
Gas5,Itga2,0.246910879,0.001211004,0.275243132
Meg3,Itga2,0.162553803,0.03472242,0.178532165
Pvt1,Itga2,-0.170899812,0.026311807,0.130783522
Kcnq1ot1,Itga2,0.364895033,1.07E-06,0.336887388
Xist,Vcl,0.418446086,1.50E-08,0.324577899
Malat1,Vcl,-0.165390327,0.031639252,0.050059217
Airn,Vcl,0.743395076,5.58E-31,0.262778973
Hotair,Vcl,0.052826838,0.49515768,0.054523211
H19,Vcl,0.475037816,6.77E-11,0.124316343
Neat1,Vcl,-0.183637214,0.016851741,-0.130568054
Hottip,Vcl,0.00081862,0.991572037,-0.018087346
Gas5,Vcl,0.522074012,3.35E-13,0.275243132
Meg3,Vcl,-0.033856452,0.66211669,0.178532165
Pvt1,Vcl,-0.092634584,0.230960037,0.130783522
Kcnq1ot1,Vcl,0.331126434,1.10E-05,0.336887388
Xist,Arhgap24,0.214997127,0.004998616,0.324577899
Malat1,Arhgap24,0.063421182,0.412682917,0.050059217
Airn,Arhgap24,0.315485822,2.94E-05,0.262778973
Hotair,Arhgap24,0.096334567,0.212781005,0.054523211
H19,Arhgap24,0.022416508,0.772360874,0.124316343
Neat1,Arhgap24,-0.029812627,0.700405383,-0.130568054
Hottip,Arhgap24,-0.054814282,0.47905118,-0.018087346
Gas5,Arhgap24,0.249582701,0.001066235,0.275243132
Meg3,Arhgap24,0.088639137,0.251789383,0.178532165
Pvt1,Arhgap24,0.094315,0.222572526,0.130783522
Kcnq1ot1,Arhgap24,0.239648191,0.001700101,0.336887388
