lncRNA,gene,corr,p_value,mean_bicor
Airn,Vezt,-0.025640957,0.740710233,0.262778973
Hotair,Vezt,0.002001962,0.979391033,0.054523211
H19,Vezt,-0.219923485,0.004065338,0.124316343
Neat1,Vezt,-0.016323318,0.833166445,-0.130568054
Hottip,Vezt,-0.093158223,0.228322852,-0.018087346
Gas5,Vezt,0.054631428,0.480521116,0.275243132
Meg3,Vezt,0.447386943,1.07E-09,0.178532165
Pvt1,Vezt,0.520045337,4.29E-13,0.130783522
Kcnq1ot1,Vezt,0.618784192,3.09E-19,0.336887388
Xist,Ankrd28,0.427588438,6.70E-09,0.324577899
Malat1,Ankrd28,0.074957868,0.332753001,0.050059217
Airn,Ankrd28,0.304571734,5.67E-05,0.262778973
Hotair,Ankrd28,0.100783545,0.192307084,0.054523211
H19,Ankrd28,0.161474652,0.035960391,0.124316343
Neat1,Ankrd28,-0.214712011,0.005058087,-0.130568054
Hottip,Ankrd28,-0.125483972,0.104031208,-0.018087346
Gas5,Ankrd28,0.290843962,0.000124965,0.275243132
Meg3,Ankrd28,0.248440462,0.001126065,0.178532165
Pvt1,Ankrd28,0.313476967,3.32E-05,0.130783522
Kcnq1ot1,Ankrd28,0.390958049,1.48E-07,0.336887388
Xist,Ptpra,0.388541599,1.79E-07,0.324577899
Malat1,Ptpra,0.448964109,9.22E-10,0.050059217
Airn,Ptpra,-0.038473377,0.619452941,0.262778973
Hotair,Ptpra,0.013638299,0.860301631,0.054523211
H19,Ptpra,-0.258651411,0.00068508,0.124316343
Neat1,Ptpra,-0.031769675,0.681773607,-0.130568054
Hottip,Ptpra,-0.100495511,0.193587504,-0.018087346
Gas5,Ptpra,0.095964049,0.214553915,0.275243132
Meg3,Ptpra,0.531344087,1.07E-13,0.178532165
Pvt1,Ptpra,0.606195002,2.47E-18,0.130783522
Kcnq1ot1,Ptpra,0.593024567,1.98E-17,0.336887388
Xist,Dlg5,0.693354005,1.52E-25,0.324577899
Malat1,Dlg5,-0.068472103,0.376388754,0.050059217
Airn,Dlg5,0.381044965,3.21E-07,0.262778973
Hotair,Dlg5,0.036460805,0.637905575,0.054523211
H19,Dlg5,0.251681652,0.00096383,0.124316343
Neat1,Dlg5,-0.448643896,9.51E-10,-0.130568054
Hottip,Dlg5,-0.084315217,0.275755042,-0.018087346
Gas5,Dlg5,0.483156158,2.87E-11,0.275243132
Meg3,Dlg5,0.339429862,6.34E-06,0.178532165
Pvt1,Dlg5,0.188586497,0.014068742,0.130783522
Kcnq1ot1,Dlg5,0.64069497,6.54E-21,0.336887388
Xist,Abi2,0.297649893,8.49E-05,0.324577899
Malat1,Abi2,0.292053143,0.000116749,0.050059217
Airn,Abi2,-0.172341288,0.025051938,0.262778973
Hotair,Abi2,-0.020046437,0.795870159,0.054523211
H19,Abi2,-0.149885344,0.051768934,0.124316343
Neat1,Abi2,-0.168506986,0.028522967,-0.130568054
Hottip,Abi2,-0.103198289,0.181814606,-0.018087346
Gas5,Abi2,0.080681189,0.297053837,0.275243132
Meg3,Abi2,0.469921975,1.15E-10,0.178532165
Pvt1,Abi2,0.554676495,5.09E-15,0.130783522
Kcnq1ot1,Abi2,0.538576937,4.26E-14,0.336887388
Xist,Arhgap12,0.545287574,1.78E-14,0.324577899
Malat1,Arhgap12,0.261383411,0.000597738,0.050059217
Airn,Arhgap12,0.139138329,0.071206244,0.262778973
Hotair,Arhgap12,0.002780767,0.971376656,0.054523211
H19,Arhgap12,-0.133414621,0.08376311,0.124316343
Neat1,Arhgap12,-0.113910665,0.140305999,-0.130568054
Hottip,Arhgap12,0.040461791,0.601452145,-0.018087346
Gas5,Arhgap12,0.146864518,0.056726286,0.275243132
