"XIST_group","RNAss","sample_type"
"Low XIST",0.204653179693439,"Normal Tissue"
"Low XIST",0.208051700880107,"Normal Tissue"
"Low XIST",0.194507723797287,"Normal Tissue"
"Low XIST",0.358130365467484,"Normal Tissue"
"Low XIST",0.366928534958467,"Normal Tissue"
"Low XIST",0.514950365889267,"Normal Tissue"
"Low XIST",0.549591761008677,"Normal Tissue"
"Low XIST",0.470679006780651,"Normal Tissue"
"Low XIST",0.473287891215522,"Normal Tissue"
"Low XIST",0.499645322351237,"Normal Tissue"
"Low XIST",0.42894087112286,"Normal Tissue"
"Low XIST",0.478097631818751,"Normal Tissue"
"Low XIST",0.503715265980823,"Normal Tissue"
"Low XIST",0.466596601306309,"Normal Tissue"
"Low XIST",0.452131841580126,"Normal Tissue"
"High XIST",0.100017320008827,"Normal Tissue"
"High XIST",0.178879824935959,"Normal Tissue"
"High XIST",0.0332121654659426,"Normal Tissue"
"Low XIST",0.181406831894317,"Normal Tissue"
"High XIST",0.168506014881372,"Normal Tissue"
"High XIST",0.111090109846253,"Normal Tissue"
"High XIST",0.559994107005662,"Normal Tissue"
"High XIST",0.239537462403759,"Normal Tissue"
"Low XIST",0.544925835972801,"Normal Tissue"
"High XIST",0.450909001976417,"Normal Tissue"
"Low XIST",0.229719466415798,"Normal Tissue"
"High XIST",0.238146949695341,"Normal Tissue"
"Low XIST",0.310888299621721,"Normal Tissue"
"Low XIST",0.220989603064637,"Normal Tissue"
"Low XIST",0.271764333799133,"Normal Tissue"
"Low XIST",0.483917720084496,"Normal Tissue"
"Low XIST",0.419106707156999,"Normal Tissue"
"High XIST",0.135660849025343,"Normal Tissue"
"High XIST",0.151548689473023,"Normal Tissue"
"Low XIST",0.419421128096416,"Normal Tissue"
"Low XIST",0.263883964586047,"Normal Tissue"
"Low XIST",0.510691792983139,"Normal Tissue"
"Low XIST",0.420286803405323,"Normal Tissue"
"Low XIST",0.508345867031977,"Normal Tissue"
"Low XIST",0.343553287820918,"Normal Tissue"
"Low XIST",0.364867447944445,"Normal Tissue"
"Low XIST",0.361603380247967,"Normal Tissue"
"High XIST",0.230928124240903,"Normal Tissue"
"Low XIST",0.0565332867744997,"Normal Tissue"
"Low XIST",0.442270389454119,"Normal Tissue"
"Low XIST",0.514005069489171,"Normal Tissue"
"Low XIST",0.509245942001531,"Normal Tissue"
"High XIST",0.563123092144551,"Normal Tissue"
"Low XIST",0.39143947906805,"Normal Tissue"
"Low XIST",0.504341062151162,"Normal Tissue"
"Low XIST",0.445594338622789,"Normal Tissue"
"Low XIST",0.490235202819599,"Normal Tissue"
"Low XIST",0.394453455428872,"Normal Tissue"
"High XIST",0.103631321203009,"Normal Tissue"
"High XIST",0.045268767610934,"Normal Tissue"
"High XIST",0.179290104662159,"Normal Tissue"
"High XIST",0.209041740769348,"Normal Tissue"
"High XIST",0.0584357815280265,"Normal Tissue"
"High XIST",0.0731691662793575,"Normal Tissue"
"Low XIST",0.342297194976334,"Normal Tissue"
"Low XIST",0.2110383926959,"Normal Tissue"
"High XIST",0.17494257175932,"Normal Tissue"
