"gene_name","log2FoldChange","padj","cell_line","deg","delabel"
"NEXN",2.792660255,0.005156572,"X7","upregulated","NEXN"
"ARHGAP21",0.478595169,1.77e-05,"X7","none",NA
"FSCN1",0.902327834,0.000385649,"X7","upregulated","FSCN1"
"EXOC3",0.249304828,0.042720642,"X7","none",NA
"TJP2",1.022277112,4.91e-05,"X7","upregulated","TJP2"
"ITGA5",0.402749455,0.075229272,"X7","none",NA
"PTPN12",0.046458348,0.947791665,"X7","none",NA
"ARHGAP32",0.085288008,0.854714488,"X7","none",NA
"PTPN6",-0.016380777,0.965009302,"X7","none",NA
"STARD13",0.930874617,3.36e-05,"X7","upregulated","STARD13"
"FLNB",0.194132254,0.258974836,"X7","none",NA
"CTNNB1",-0.204428607,0.132014141,"X7","none",NA
"FER",0.00085034,1,"X7","none",NA
"BCAR3",1.248644617,7.71e-05,"X7","upregulated","BCAR3"
"DIAPH1",0.35923112,0.273871097,"X7","none",NA
"SOS1",-0.382171473,0.123819957,"X7","none",NA
"PSEN1",-0.182098991,0.065546224,"X7","none",NA
"LDB3",0.782512908,0.190678939,"X7","none",NA
"LPP",-0.10294911,0.874558225,"X7","none",NA
"LIMS1",0.675154386,2.73e-06,"X7","upregulated","LIMS1"
"PTEN",-0.128083962,0.696817626,"X7","none",NA
"RACGAP1",0.185468524,0.455822698,"X7","none",NA
"CBLL1",-0.183705546,0.315837464,"X7","none",NA
"ITGA10",2.333580996,3.39e-08,"X7","upregulated","ITGA10"
"ECT2",-0.056388928,0.865506096,"X7","none",NA
"ACP1",-0.348147698,0.065100592,"X7","none",NA
"NDEL1",0.064237914,0.800639483,"X7","none",NA
"GNA12",0.372902477,0.016696005,"X7","none",NA
"DOCK1",0.09457785,0.768716521,"X7","none",NA
"PALLD",-0.007671088,0.994635638,"X7","none",NA
"ITGA6",-0.756444414,0.000370841,"X7","downregulated","ITGA6"
"CD47",-0.425489704,0.055572223,"X7","none",NA
"MAGI1",-0.284812357,0.308357982,"X7","none",NA
"LRP1",0.129941837,0.924808325,"X7","none",NA
"PPFIA1",0.164953033,0.675153608,"X7","none",NA
"SLC16A3",0.825474955,1.2e-07,"X7","upregulated","SLC16A3"
"FYN",-1.20069687,0.021633989,"X7","downregulated","FYN"
"ARHGAP35",0.063187445,0.775221545,"X7","none",NA
"AKAP5",1.730054359,2.05e-11,"X7","upregulated","AKAP5"
"LYN",0.587062253,0.023265696,"X7","upregulated","LYN"
"PTPRK",0.514826707,0.187927491,"X7","none",NA
"FHL2",-0.512480983,0.003152634,"X7","none",NA
"GIT1",0.196565465,0.456203555,"X7","none",NA
"KCNH2",0.597904892,0.084089192,"X7","none",NA
"ADAM9",-0.365696026,0.298639893,"X7","none",NA
"PTPRA",0.179433149,0.443735717,"X7","none",NA
"CSNK2A1",-0.259540294,0.004107142,"X7","none",NA
"RAC1",0.206175234,0.03024496,"X7","none",NA
"MYH10",0.132254044,0.756190653,"X7","none",NA
"ELMO1",0.350398921,0.626692313,"X7","none",NA
"ITGB5",0.260063832,0.033017641,"X7","none",NA
"PDPK1",0.128912785,0.500384873,"X7","none",NA
"SVIL",-0.211566871,0.474805573,"X7","none",NA
"SH3KBP1",-0.019314207,0.960956333,"X7","none",NA
"PVR",-0.061822213,0.867256462,"X7","none",NA
"SDCBP",0.08789801,0.625452347,"X7","none",NA
"CTTN",0.169378201,0.417624446,"X7","none",NA
"CASP8",-0.54357183,0.077393334,"X7","none",NA
"ITGA7",1.221846783,1.96e-06,"X7","upregulated","ITGA7"
"DLG5",-0.191298239,0.506731873,"X7","none",NA
"CAPZA1",-0.072787294,0.796701609,"X7","none",NA
"ZFYVE21",0.538033881,0.001099185,"X7","none",NA
"DBN1",0.014833679,0.962339898,"X7","none",NA
"LASP1",-0.077017719,0.673351512,"X7","none",NA
