gene_name,bicor_gtex,p_gtex,bicor_tcga,p_tcga,z_gtex,z_tcga,se_diff,z_diff,p_diff,padj_diff,delta_bicor
INPP5D,0.31193489,4.85E-131,0.144856738,3.29E-23,0.322687436,0.145882888,0.019695029,8.977115423,2.78E-19,3.35E-19,0.167078152
INPPL1,0.654698989,0,-0.003328156,0.820585536,0.78347893,-0.003328168,0.019695029,39.9495274,0,0,0.658027145
INSR,0.459791392,2.73E-301,0.224777824,2.70E-54,0.497046723,0.228682536,0.019695029,13.62598595,2.81E-42,3.97E-42,0.235013568
IQGAP1,0.486070632,0,0.048743301,0.000888949,0.530902458,0.048781959,0.019695029,24.47929883,2.45E-132,7.01E-132,0.437327331
IRS1,0.56082954,0,0.073411386,5.46E-07,0.634042543,0.073543691,0.019695029,28.45889965,3.78E-178,1.73E-177,0.487418154
ITGA1,0.399023191,1.41E-220,0.148807215,2.04E-24,0.422486602,0.149920418,0.019695029,13.83933911,1.48E-43,2.12E-43,0.250215976
ITGA10,0.444327721,3.70E-279,0.286999406,9.58E-89,0.477610277,0.295293246,0.019695029,9.257007487,2.10E-20,2.55E-20,0.157328315
ITGA11,0.360897141,8.38E-178,-0.059914066,4.38E-05,0.377917007,-0.059985912,0.019695029,22.23418509,1.60E-109,3.80E-109,0.420811207
ITGA2,0.305400112,2.86E-125,0.139449264,1.33E-21,0.315464446,0.140363874,0.019695029,8.890597374,6.08E-19,7.28E-19,0.165950848
ITGA3,0.553964103,0,0.020014386,0.172573361,0.624082498,0.020017059,0.019695029,30.6709597,1.39E-206,8.14E-206,0.533949717
ITGA4,0.377934193,3.40E-196,0.090908211,5.47E-10,0.397647404,0.091159891,0.019695029,15.5616686,1.33E-54,2.11E-54,0.287025982
ITGA5,0.363205432,2.56E-180,-0.095195149,7.94E-11,0.380573518,-0.095484279,0.019695029,24.17146982,4.44E-129,1.23E-128,0.458400581
ITGA6,0.272969271,1.34E-99,0.003266884,0.823833876,0.280069357,0.003266896,0.019695029,14.05443285,7.24E-45,1.06E-44,0.269702387
ITGA7,0.271600715,1.38E-98,0.149153108,1.60E-24,0.278591213,0.150274163,0.019695029,6.515199869,7.26E-11,8.25E-11,0.122447607
ITGA8,0.344884487,3.70E-161,0.222452538,3.56E-53,0.359625915,0.226234855,0.019695029,6.772828816,1.26E-11,1.44E-11,0.122431949
ITGA9,0.404026571,1.30E-226,0.128833327,1.19E-18,0.428451713,0.129553304,0.019695029,15.17633765,5.07E-52,7.84E-52,0.275193244
ITGAD,0.114492648,1.72E-16,0.071459923,2.37E-06,0.114996898,0.071581934,0.019695029,2.204361519,0.02749893,0.028523734,0.043032725
ITGAE,0.382029467,7.61E-201,-0.05191808,0.000399743,0.402433776,-0.051964804,0.019695029,23.07173962,8.90E-118,2.20E-117,0.433947547
ITGAL,0.257083771,5.55E-88,0.090628036,6.08E-10,0.262983279,0.090877389,0.019695029,8.738544697,2.36E-18,2.81E-18,0.166455735
