,N4_2,N4_3,N4_4,N7_2,N7_3,N7_4,N9_2,N9_3,N9_4
POLA1,968,963,1063,1622,1202,1523,1629,1360,1222
SNX6,2031,1517,2404,2017,1199,1840,1891,1368,1391
UBA6,2933,2401,3356,4507,3370,4251,4241,3505,3103
TLCD5,352,301,427,396,286,467,276,238,245
PALM2AKAP2,611,506,747,612,457,501,488,372,367
CEP83,555,584,736,894,771,886,807,601,618
LBHD1,37,23,26,52,37,53,47,32,40
CCNO,114,102,151,237,176,248,252,245,227
ZNF574,374,342,513,530,432,566,510,475,367
MIR609,0,0,0,0,0,0,0,0,0
CHST15,59,71,120,243,162,99,33,37,28
MIR4482,11,6,12,6,8,8,9,3,1
ATP6V0A2,211,155,265,880,588,880,840,671,615
DUSP10,7,15,18,18,12,18,3,3,7
CFAP58-DT,2,0,3,5,5,9,11,11,14
SIGLEC10,0,0,0,0,0,0,1,0,0
HNRNPR,5318,4413,6154,8012,5243,7623,6991,5727,5204
PLEKHO1,273,216,322,704,545,669,387,324,270
UBE2E3,1306,1066,1434,1309,1014,1260,1316,1115,976
PCSK9,0,0,0,1,0,0,1,0,0
DIS3L2,554,551,579,618,534,617,569,460,428
TAGLN,1917,1122,1326,5282,2216,5225,870,1013,667
HESX1,36,26,34,45,33,28,37,34,26
NOS3,282,234,289,266,269,268,729,662,530
RNF130,712,664,867,1185,828,1042,1129,850,793
ZNF606,260,241,309,357,360,414,309,215,229
BTLA,0,0,0,1,0,1,0,0,0
ADD3-AS1,1,0,2,5,6,9,9,10,11
FKTN,1019,879,1234,1692,1241,1744,1586,1227,1118
SAG,0,0,0,0,0,0,0,0,1
PSPN,0,1,2,2,0,3,2,2,4
PRKAR2A,2353,1980,2704,4308,3033,4261,4552,3778,3373
BRPF1,540,501,655,928,719,831,879,729,592
CEP162,229,215,238,376,295,345,273,205,187
INSM1,0,0,0,0,0,0,0,0,0
ITGA5,580,504,587,1084,941,1056,797,734,584
FMO4,18,17,35,60,54,53,70,43,58
PDCD4-AS1,20,14,23,23,16,32,23,14,22
STAC3,38,22,18,49,37,52,28,29,21
HDAC4,266,316,343,406,384,481,378,312,298
SPATA13,366,343,487,875,757,760,995,793,684
RPL13AP6,0,0,0,0,2,0,1,2,1
TMTC3,1379,1069,1555,1716,1182,1657,1306,1183,1101
PTPN12,311,502,295,426,755,433,332,311,237
MTFR1,747,576,956,1147,649,1139,1121,901,837
DKKL1,30,28,45,59,78,65,47,40,49
SMAP1,743,627,814,1348,1010,1207,1140,851,888
SACS,4699,4232,5640,7885,4813,7925,8562,7124,6504
ZNF570,353,304,456,529,284,485,497,394,356
PFKFB3,557,474,655,923,1092,1040,758,772,676
E4F1,731,667,890,1079,899,934,972,921,622
VTI1A,498,448,596,857,646,823,755,609,577
UOX,1,3,2,5,1,3,2,2,1
SLC4A3,327,306,314,352,450,355,269,280,206
POLR2J4,108,101,131,190,177,227,165,175,128
PMS2P2,18,19,18,29,35,45,27,30,36
SNHG8,1018,630,1031,1165,556,1136,1286,999,934
LOC103344931,47,60,65,53,82,64,46,63,45
ZNF384,575,515,634,798,723,782,698,648,538
CT45A10,0,0,0,0,0,0,0,0,0
ZBTB8A,580,569,796,1195,790,1148,919,725,722
TEX15,3207,3260,4024,5533,4089,5518,6148,5201,4541
SUGP2,2169,1927,2571,3726,3112,3701,3817,3259,2929
ZFYVE1,93,71,102,130,106,109,145,120,114
SNORA87,14,7,19,9,11,13,17,14,18
GNG2,0,0,0,0,0,0,0,0,1
BVES,28,27,49,39,50,44,30,28,23
ATG12,1438,1124,1725,1779,1220,1662,1744,1458,1296
LGR5,3,0,2,4,13,18,8,3,4
IGSF9B,20,27,20,11,29,14,6,10,6
PKDCC,53,42,59,55,35,42,33,17,16
HIRA,448,469,561,938,882,964,1030,804,739
RAX2,0,0,0,0,0,0,0,1,1
ZNF251,0,1,0,3,4,7,6,3,1
OGFOD2,280,239,339,490,358,461,448,400,305
TMEM208,385,298,451,713,422,686,722,585,604
ISG15,648,438,769,1315,806,1194,1167,807,832
AKAP12,83,71,106,7,10,7,11,9,9
MARS1,2662,2112,3287,3520,2752,4226,2501,2361,2515
PLEKHS1,0,0,0,0,1,0,0,0,0
SFT2D1,524,402,679,1028,640,1031,1020,966,834
SDR42E1,0,0,0,0,0,0,1,0,1
MYRF,49,43,23,33,49,25,20,22,11
ARHGAP32,187,228,200,263,379,268,302,240,236
AFAP1L2,3,3,11,12,11,18,10,9,4
CCDC7,105,119,132,137,148,157,155,151,102
STRA6,39,29,27,427,561,482,395,430,302
PIWIL2,0,3,1,2,4,13,2,2,1
TMEM171,51,43,70,43,24,41,60,40,56
TRMT10B,107,116,128,173,128,165,165,153,114
RPS3,11871,8377,13492,17634,10973,18010,16104,12966,12240
SRP68,688,782,669,1037,1334,948,992,825,750
RNASEH1,1904,1491,2348,3058,1824,3003,3074,2558,2207
PHF19,1217,1042,1523,1603,1155,1766,1928,1576,1522
TRIM23,230,176,269,289,219,277,290,197,211
RUNX1T1,344,348,301,85,81,74,102,90,65
LRRC75A,98,74,104,99,92,110,81,73,85
TNRC6A,2050,2107,2018,3811,3988,3746,2953,2627,2170
SCLT1,428,420,576,1004,652,936,1053,815,770
DAPK1,21,45,44,5,3,6,1,0,0
CBSL,7,2,2,2,0,7,0,7,1
ACAP3,448,395,400,987,1010,858,1060,1052,723
C1QTNF2,3,2,3,10,5,11,7,8,5
CACNG6,1,1,2,2,0,1,6,2,2
USP26,0,0,0,0,0,0,0,0,1
CACNG7,0,0,0,1,2,1,0,1,3
B3GNT4,57,58,61,105,123,132,103,80,77
S1PR5,108,107,160,103,117,94,72,79,66
MAP11,225,230,292,333,306,356,343,360,280
MRGBP,1372,1117,1631,2236,1540,2057,2252,1914,1736
ERBB2,889,790,1026,1337,1275,1314,1080,928,824
LOC101927692,0,0,1,4,2,0,0,0,0
LINC02626,0,2,0,0,3,2,3,1,1
BTBD8,65,80,121,110,108,136,105,68,89
CNPY3,309,225,343,502,392,509,458,365,325
ACAP2,2175,1720,2517,2323,1534,2244,2480,1909,1768
KCNH4,0,1,1,2,0,0,1,1,0
KCNH3,142,140,178,823,701,695,282,250,182
PCCA,105,92,125,145,146,135,163,133,126
CTU1,39,47,55,67,43,48,87,85,78
EFCAB11,276,201,264,281,190,307,310,209,243
PCDHGB6,12,12,18,18,30,31,19,15,21
PCDHGA7,23,40,27,18,33,28,30,11,15
DOCK8,20,14,31,22,15,12,10,8,9
ERF,1421,1208,1704,1514,1454,1443,1697,1699,1374
PLCG2,90,78,104,88,103,70,76,41,44
