"gene","bicor","XIST_group","sample_type"
"ARHGEF7",-0.453023763030686,"High XIST","Normal Tissue"
"ARHGEF7",-0.142931940293707,"Low XIST","Normal Tissue"
"ARPC2",-0.163325219584728,"High XIST","Normal Tissue"
"ARPC2",0.343307740406745,"Low XIST","Normal Tissue"
"ARVCF",-0.232657062079848,"High XIST","Normal Tissue"
"ARVCF",-0.285684748389378,"Low XIST","Normal Tissue"
"ASAP2",-0.237439436425882,"High XIST","Normal Tissue"
"ASAP2",-0.427597587143544,"Low XIST","Normal Tissue"
"ASAP3",-0.112700745872667,"High XIST","Normal Tissue"
"ASAP3",-0.456277012700897,"Low XIST","Normal Tissue"
"BCAR1",-0.238681947467755,"High XIST","Normal Tissue"
"BCAR1",-0.0297290103591195,"Low XIST","Normal Tissue"
"BCAR3",-0.152487917723904,"High XIST","Normal Tissue"
"BCAR3",-0.379555454281655,"Low XIST","Normal Tissue"
"CALR",0.230172721676584,"High XIST","Normal Tissue"
"CALR",-0.0744479464181871,"Low XIST","Normal Tissue"
"CAPN1",0.218076835415742,"High XIST","Normal Tissue"
"CAPN1",0.189755022177944,"Low XIST","Normal Tissue"
"CAPN2",-0.405568710212297,"High XIST","Normal Tissue"
"CAPN2",-0.264502753220692,"Low XIST","Normal Tissue"
"CAPZA1",0.140274187052057,"High XIST","Normal Tissue"
"CAPZA1",0.336410487701109,"Low XIST","Normal Tissue"
"CASP3",0.21987230289882,"High XIST","Normal Tissue"
"CASP3",0.0992446796947835,"Low XIST","Normal Tissue"
"CASP8",0.161023592083309,"High XIST","Normal Tissue"
"CASP8",0.193261111888661,"Low XIST","Normal Tissue"
"CASS4",-0.237466349155492,"High XIST","Normal Tissue"
"CASS4",0.364136795489394,"Low XIST","Normal Tissue"
"CAV1",-0.29234943610399,"High XIST","Normal Tissue"
"CAV1",-0.734333653803594,"Low XIST","Normal Tissue"
"CBL",-0.469010662319604,"High XIST","Normal Tissue"
"CBL",0.396726982493796,"Low XIST","Normal Tissue"
"CBLL1",0.0825673945338571,"High XIST","Normal Tissue"
"CBLL1",0.0632767005557009,"Low XIST","Normal Tissue"
"CD151",-0.50018641193865,"High XIST","Normal Tissue"
