"RNAss","XIST","sample_type","bin_XIST"
0.0842811015487489,6.65106604628205,"Normal Tissue","High XIST"
0.0844509212528387,7.32553932589763,"Normal Tissue","High XIST"
0.0844617084260358,7.1709365370156,"Normal Tissue","High XIST"
0.0844845677792524,7.57970060497088,"Normal Tissue","High XIST"
0.0845024201477199,5.59726299036976,"Normal Tissue",NA
0.084582706063879,7.1709365370156,"Normal Tissue","High XIST"
0.0846979809675198,6.39935911054234,"Normal Tissue","High XIST"
0.0847134901089901,7.22594004838029,"Normal Tissue","High XIST"
0.0848097425405271,6.00609601449727,"Normal Tissue",NA
0.0848280412685355,6.40430709734359,"Normal Tissue","High XIST"
0.0848426076404379,6.65106604628205,"Normal Tissue","High XIST"
0.0849354080577892,5.40942488150401,"Normal Tissue",NA
0.0850492154992904,6.54999253964848,"Normal Tissue","High XIST"
0.0850624745920765,7.71287774419897,"Normal Tissue","High XIST"
0.0850686296537345,6.38613840557641,"Normal Tissue",NA
0.0852477442632779,5.54569042590853,"Normal Tissue",NA
0.0853413446922713,6.64271601026219,"Normal Tissue","High XIST"
0.0853712801068772,6.34856882941705,"Normal Tissue",NA
0.0854738974765801,6.62703770174733,"Normal Tissue","High XIST"
0.0856507626151387,6.20615479404215,"Normal Tissue",NA
0.08570877,8.1193,"Primary Tumor","High XIST"
0.0859187052367076,5.54723387761439,"Normal Tissue",NA
0.0859977304412936,5.16916337805799,"Normal Tissue",NA
0.0860159319282655,7.01235636539623,"Normal Tissue","High XIST"
0.0860814618052313,7.45779946668913,"Normal Tissue","High XIST"
0.0860968452762723,7.0179330398605,"Normal Tissue","High XIST"
0.0861028573654602,7.57062231087874,"Normal Tissue","High XIST"
0.0861215061238814,5.64012922671687,"Normal Tissue",NA
0.0861321848116984,7.64314187892296,"Normal Tissue","High XIST"
0.0862574137896304,5.55369840340074,"Normal Tissue",NA
0.0862758651773431,6.93547153448133,"Normal Tissue","High XIST"
0.0864714713614351,7.10224869385644,"Normal Tissue","High XIST"
0.0865619290627315,6.15017376902946,"Normal Tissue",NA
0.0866138273197722,5.56836658634531,"Normal Tissue",NA
0.0866568368454272,6.34520119240499,"Normal Tissue",NA
0.0868015003168983,6.39353632852688,"Normal Tissue","High XIST"
0.0868202270470458,4.7027129453625,"Normal Tissue",NA
0.0868275273871318,5.64128590436868,"Normal Tissue",NA
0.0870500784088961,6.29095882751004,"Normal Tissue",NA
0.0871026936010391,7.46025929139668,"Normal Tissue","High XIST"
0.0871243975889681,7.34873700509375,"Normal Tissue","High XIST"
0.0875011486519036,5.46372053376471,"Normal Tissue",NA
0.0875134673021115,5.04531190602877,"Normal Tissue",NA
0.0877859316764996,6.91529381855254,"Normal Tissue","High XIST"
0.087824905749196,4.3023921709935,"Normal Tissue","Low XIST"
0.0879066627090402,6.03937970045046,"Normal Tissue",NA
0.0879727281233839,6.25306271015037,"Normal Tissue",NA
0.0880139653224867,6.34075808058257,"Normal Tissue",NA
0.088072672462135,5.50115248852829,"Normal Tissue",NA
0.088159164938588,5.3129192490427,"Normal Tissue",NA
0.088230260232562,5.49700552694752,"Normal Tissue",NA
0.0883163698019911,5.44496516828289,"Normal Tissue",NA
0.0886192124560232,5.90715506545702,"Normal Tissue",NA
0.0886591939210084,5.89192948398312,"Normal Tissue",NA
0.0887371471085055,4.89486625644389,"Normal Tissue",NA
0.0888309499871802,5.69044503281117,"Normal Tissue",NA
0.0891467394475744,6.81891445435022,"Normal Tissue","High XIST"
