"adhesome_gene","XIST","tissue"
"PARVA",0.0311076903971444,"Adipose Tissue"
"PLEKHA7",0.222003235445629,"Adipose Tissue"
"PTPRJ",0.295799752936525,"Adipose Tissue"
"CTNND1",0.576192904664024,"Adipose Tissue"
"LPXN",0.366154843198186,"Adipose Tissue"
"SLC3A2",-0.0128041620425792,"Adipose Tissue"
"FERMT3",0.119941117528963,"Adipose Tissue"
"CAPN1",0.31698884430762,"Adipose Tissue"
"CFL1",0.0212748775985186,"Adipose Tissue"
"CORO1B",0.137941446443581,"Adipose Tissue"
"PPFIA1",0.229306566206758,"Adipose Tissue"
"CTTN",0.381836708254191,"Adipose Tissue"
"INPPL1",0.395117706568333,"Adipose Tissue"
"MYO7A",0.246230601363578,"Adipose Tissue"
"PAK1",0.507017048171746,"Adipose Tissue"
"RDX",0.307722160789464,"Adipose Tissue"
"LAYN",0.216802454810917,"Adipose Tissue"
"CBL",0.469280196962973,"Adipose Tissue"
"THY1",0.325698379102316,"Adipose Tissue"
"ARHGEF12",0.511199094291797,"Adipose Tissue"
"ARHGAP32",0.607654104150047,"Adipose Tissue"
"PTPN6",0.189976920573403,"Adipose Tissue"
"PTPRO",0.30595167744678,"Adipose Tissue"
"TUBA1B",0.202251923629762,"Adipose Tissue"
"RACGAP1",0.283789361909818,"Adipose Tissue"
"LIMA1",0.432994240114362,"Adipose Tissue"
"ITGB7",0.408422376902547,"Adipose Tissue"
"ITGA5",0.245775842539178,"Adipose Tissue"
"ITGA7",-0.0408860700717228,"Adipose Tissue"
"LRP1",0.267972195030419,"Adipose Tissue"
"AGAP2",0.227434400649773,"Adipose Tissue"
"LIN7A",0.326188973777742,"Adipose Tissue"
"VEZT",0.528415638121994,"Adipose Tissue"
"SSH1",0.167034996279894,"Adipose Tissue"
"TRPV4",0.182609925193394,"Adipose Tissue"
"GIT2",0.488312906419888,"Adipose Tissue"
"PTPN11",-0.0658936689479927,"Adipose Tissue"
"PXN",0.455619289865203,"Adipose Tissue"
"CLIP1",0.245235377626116,"Adipose Tissue"
"STARD13",0.335976551647771,"Adipose Tissue"
"TRPC4",0.302739751839022,"Adipose Tissue"
"LMO7",0.447766569479021,"Adipose Tissue"
"ARHGEF7",0.424373633837113,"Adipose Tissue"
"MMP14",0.243169844024288,"Adipose Tissue"
"CDH24",0.321748221779772,"Adipose Tissue"
"PRKD1",0.100558153407365,"Adipose Tissue"
"ARHGAP5",0.52583812504869,"Adipose Tissue"
"ARF6",0.281835604565515,"Adipose Tissue"
"FERMT2",0.166088139914172,"Adipose Tissue"
"KTN1",0.234142665785794,"Adipose Tissue"
"AKAP5",0.341490152210207,"Adipose Tissue"
"HSPA2",0.194604375925297,"Adipose Tissue"
"ACTN1",0.296242432808521,"Adipose Tissue"
"PSEN1",0.212540834488539,"Adipose Tissue"
"NUMB",0.572998912222326,"Adipose Tissue"
"DYNC1H1",0.380647311728581,"Adipose Tissue"
"ZFYVE21",0.16275919860289,"Adipose Tissue"
"AKT1",-0.0668238858808845,"Adipose Tissue"
"TJP1",0.453349473234411,"Adipose Tissue"
"TRPM7",0.572735113026572,"Adipose Tissue"
"CGNL1",0.265020957755829,"Adipose Tissue"
"ADAM10",0.471755610767501,"Adipose Tissue"
"ITGA11",0.381303196218946,"Adipose Tissue"
"CSK",0.241409338560273,"Adipose Tissue"
"PEAK1",0.545563197316902,"Adipose Tissue"
"CIB2",0.168852504238646,"Adipose Tissue"
"CIB1",0.0309353778575273,"Adipose Tissue"
"IQGAP1",0.565215379697822,"Adipose Tissue"
"SYNM",0.09571279203851,"Adipose Tissue"
"MAPK8IP3",0.510546333879653,"Adipose Tissue"
"PKD1",0.337973989736985,"Adipose Tissue"
"PDPK1",0.290585208317559,"Adipose Tissue"
"NUDT16L1",-0.12914041011233,"Adipose Tissue"
"SH2B1",0.40832464305621,"Adipose Tissue"
"ITGAL",0.386891887611723,"Adipose Tissue"
"ITGAM",0.157144861267576,"Adipose Tissue"
"ITGAX",0.123735747299657,"Adipose Tissue"
"ITGAD",0.238658446132995,"Adipose Tissue"
"TGFB1I1",0.413257647646408,"Adipose Tissue"
"CDH8",0.364179347738861,"Adipose Tissue"
"CDH11",0.524455357412792,"Adipose Tissue"
"CDH5",0.297002971448074,"Adipose Tissue"
"CDH3",0.0329618112432544,"Adipose Tissue"
"CDH1",-0.00456502279250662,"Adipose Tissue"
"BCAR1",0.286036945787837,"Adipose Tissue"
"CDH15",0.211157046516174,"Adipose Tissue"
"CRK",-0.0660249380715296,"Adipose Tissue"
"ITGAE",0.0720043645265872,"Adipose Tissue"
"PFN1",-0.0361542476743823,"Adipose Tissue"
"NDEL1",0.306133056826633,"Adipose Tissue"
"MYH10",0.308468793441662,"Adipose Tissue"
"GIT1",0.127412327823741,"Adipose Tissue"
"SRCIN1",-0.171638701560694,"Adipose Tissue"
"LASP1",0.21110549828548,"Adipose Tissue"
"GRB7",0.084900541420611,"Adipose Tissue"
"WIPF2",0.500614728293162,"Adipose Tissue"
"JUP",0.282722845737279,"Adipose Tissue"
"STAT3",0.178276568251264,"Adipose Tissue"
"ITGB3",0.359930151210394,"Adipose Tissue"
"ABI3",0.215055755833231,"Adipose Tissue"
"ITGA3",0.390554957768334,"Adipose Tissue"
"NME1",-0.0986286336814405,"Adipose Tissue"
"PRKCA",0.432731046235119,"Adipose Tissue"
"GRB2",0.0966412716401092,"Adipose Tissue"
"ITGB4",0.307266917911059,"Adipose Tissue"
"SLC16A3",0.203248300481219,"Adipose Tissue"
"MYOM1",0.262975676629343,"Adipose Tissue"
"PTPRM",0.0863280997719301,"Adipose Tissue"
"PTPN2",0.328162738174806,"Adipose Tissue"
"ROCK1",0.529922703026697,"Adipose Tissue"
"CDH2",0.0851178475175825,"Adipose Tissue"
"CDH20",-0.21317088279251,"Adipose Tissue"
"CDH7",0.083508184334453,"Adipose Tissue"
"CDH19",0.0646512984411269,"Adipose Tissue"
"PIP5K1C",0.341718128011228,"Adipose Tissue"
"VAV1",0.170746671380117,"Adipose Tissue"
"INSR",-0.0304824507800672,"Adipose Tissue"
"RAVER1",0.0841993572604034,"Adipose Tissue"
"KEAP1",-0.0719378786161924,"Adipose Tissue"
"DNM2",0.381006205464116,"Adipose Tissue"
"CALR",0.243860307634325,"Adipose Tissue"
"PRKACA",0.132901446269468,"Adipose Tissue"
"SIPA1L3",0.416004354108687,"Adipose Tissue"
"ACTN4",0.434228816773204,"Adipose Tissue"
"CEACAM1",0.00496267041949121,"Adipose Tissue"
"PLAUR",0.0844981494230539,"Adipose Tissue"
"PVR",0.123839693611544,"Adipose Tissue"
"VASP",0.255077695036357,"Adipose Tissue"
"ARHGAP35",-0.0103234319967626,"Adipose Tissue"
"CYTH2",0.35537364196744,"Adipose Tissue"
"PTPRH",0.19814274728791,"Adipose Tissue"
"CSNK2A1",0.388089978966983,"Adipose Tissue"
"SIRPA",0.249481748936258,"Adipose Tissue"
"PTPRA",0.435808091340616,"Adipose Tissue"
"PRNP",0.390119292713724,"Adipose Tissue"
"FERMT1",0.0566794039987939,"Adipose Tissue"
"SRC",0.376092782189546,"Adipose Tissue"
"PLCG1",0.43466414250785,"Adipose Tissue"
"PTPRT",0.263228283351974,"Adipose Tissue"
"SDC4",-0.0523427386883324,"Adipose Tissue"
"CDH22",0.00661229561691504,"Adipose Tissue"
"PTPN1",0.202715852815884,"Adipose Tissue"
"CASS4",0.173585865439705,"Adipose Tissue"
"CDH4",0.100671175541068,"Adipose Tissue"
"TIAM1",0.440471493637968,"Adipose Tissue"
"ITGB2",0.115092169953312,"Adipose Tissue"
"ARVCF",0.381877497714737,"Adipose Tissue"
"CRKL",0.308654688871514,"Adipose Tissue"
"MAPK1",0.499044672794273,"Adipose Tissue"
"PPM1F",0.332364310304654,"Adipose Tissue"
"NF2",-0.0506183279848881,"Adipose Tissue"
"RNF185",0.271232923738346,"Adipose Tissue"
"MYH9",0.545834417052917,"Adipose Tissue"
"SH3BP1",0.305452557891657,"Adipose Tissue"
"TRIOBP",0.300516382918408,"Adipose Tissue"
"CSNK1E",0.419027498419192,"Adipose Tissue"
"PARVB",-0.186984914416137,"Adipose Tissue"
"SH3KBP1",-0.0361013789313894,"Adipose Tissue"
"SMPX",0.0899854252477406,"Adipose Tissue"
"MSN",0.451876353957761,"Adipose Tissue"
"ARHGEF6",0.274393069469905,"Adipose Tissue"
"FLNA",0.401038972039116,"Adipose Tissue"
"AJAP1",0.125860078430277,"Muscle"
"FBLIM1",0.197088817130125,"Muscle"
"CDC42",0.461052824435703,"Muscle"
"ASAP3",0.0239338238382693,"Muscle"
"SLC9A1",0.254687015006677,"Muscle"
"WASF2",0.42600094892904,"Muscle"
"EPB41",0.402559705655062,"Muscle"
"PTPRU",0.0911582568380943,"Muscle"
"FABP3",-0.362342596935188,"Muscle"
"MACF1",0.457247662404993,"Muscle"
"PTPRF",0.409243988865082,"Muscle"
"TSPAN1",-0.0131899707961282,"Muscle"
"ITGB3BP",0.417131962931313,"Muscle"
"NEXN",0.118650071260619,"Muscle"
"SSX2IP",0.0609661861802858,"Muscle"
"BCAR3",0.295784427231092,"Muscle"
"VAV3",0.334874918229131,"Muscle"
"RAP1A",-0.0708148620545511,"Muscle"
"CAPZA1",0.306877624579733,"Muscle"
"ITGA10",0.13658756477672,"Muscle"
"HAX1",0.326276244683907,"Muscle"
"SHC1",0.272355102161157,"Muscle"
"ARHGEF2",0.413901172365016,"Muscle"
"CSRP1",0.340299594592872,"Muscle"
"PTPN14",0.100749455066225,"Muscle"
"CAPN2",0.468437803153979,"Muscle"
"ENAH",0.237720761053194,"Muscle"
"ARF1",0.224492699535471,"Muscle"
"RHOU",-0.202953247556578,"Muscle"
"ACP1",0.371515820838141,"Muscle"
"ASAP2",0.482353376826101,"Muscle"
"ITGB1BP1",0.219153976796503,"Muscle"
"SDC1",0.167183303407179,"Muscle"
"SOS1",0.162467289832254,"Muscle"
"SPTBN1",0.398338077588429,"Muscle"
"CTNNA2",0.139737233180074,"Muscle"
"FHL2",0.305208903651255,"Muscle"
"NCK2",-0.1013724074483,"Muscle"
"LIMS1",0.2388388204855,"Muscle"
"ACTR3",0.235278290975283,"Muscle"
"LIMS2",0.342763189182895,"Muscle"
"PKP4",0.496742808291381,"Muscle"
"ITGB6",0.0662173915001469,"Muscle"
